epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.76953,0.72933,0.68,1,0.62964,0.0946,0.0006,0.0006
2,9.53729,0.58724,0.8,1,0.55322,0.0882994,0.00129936,0.00129936
3,13.1493,0.61178,0.53,1,0.68579,0.081998,0.00199802,0.00199802
4,16.6573,0.62525,0.81,1,0.45947,0.075696,0.00269599,0.00269599
5,20.3357,0.57477,0.83,1,0.41565,0.0693933,0.00339327,0.00339327
6,24.1164,0.53013,0.86,1,0.38513,0.0630899,0.00408985,0.00408985
7,27.7736,0.41376,0.85,1,0.44177,0.0567857,0.00478574,0.00478574
8,31.2751,0.55335,0.84,1,0.51917,0.0504809,0.00548094,0.00548094
9,34.7284,0.44615,0.82,1,0.53394,0.0441754,0.00617545,0.00617545
10,38.2177,0.46781,0.62,1,0.77783,0.0378693,0.00686926,0.00686926
11,41.7004,0.46612,0.65,1,0.71851,0.0315624,0.00756238,0.00756238
12,45.2803,0.43076,0.82,1,0.61621,0.0252548,0.00825481,0.00825481
13,48.7897,0.33523,0.82,1,0.71582,0.0189465,0.00894654,0.00894654
14,52.3238,0.38237,0.82,1,0.61084,0.0126376,0.00963758,0.00963758
15,55.8772,0.36975,0.69,1,0.86621,0.0099307,0.0099307,0.0099307
16,59.3665,0.4226,0.6,1,0.80493,0.00992575,0.00992575,0.00992575
17,62.9403,0.36526,0.69,1,0.87988,0.0099208,0.0099208,0.0099208
18,66.4684,0.3785,0.72,1,1.0332,0.00991585,0.00991585,0.00991585
19,70.007,0.40478,0.86,1,0.91772,0.0099109,0.0099109,0.0099109
20,73.7646,0.37716,0.86,1,0.54553,0.00990595,0.00990595,0.00990595
21,77.4649,0.45246,0.84,1,0.4541,0.009901,0.009901,0.009901
22,80.9809,0.35325,0.7,1,0.54004,0.00989605,0.00989605,0.00989605
23,84.4657,0.47933,0.69,1,0.62109,0.0098911,0.0098911,0.0098911
24,88.0168,0.44183,0.46,1,1.21875,0.00988615,0.00988615,0.00988615
25,91.5522,0.42073,0.31,1,1.75488,0.0098812,0.0098812,0.0098812
26,95.0332,0.3698,0.21,1,1.90283,0.00987625,0.00987625,0.00987625
27,98.6456,0.40825,0.47,1,1.64062,0.0098713,0.0098713,0.0098713
28,102.223,0.44362,0.76,1,0.72339,0.00986635,0.00986635,0.00986635
29,105.778,0.31164,0.84,1,1.21533,0.0098614,0.0098614,0.0098614
30,109.349,0.47583,0.71,1,1.03027,0.00985645,0.00985645,0.00985645
31,112.919,0.90082,0.51,1,1.87256,0.0098515,0.0098515,0.0098515
32,116.503,0.47169,0.44,1,2.16211,0.00984655,0.00984655,0.00984655
33,120.047,0.46517,0.48,1,1.6748,0.0098416,0.0098416,0.0098416
34,123.582,0.51512,0.63,1,1.00586,0.00983665,0.00983665,0.00983665
35,127.098,0.33245,0.5,1,1.62988,0.0098317,0.0098317,0.0098317
36,130.609,0.43336,0.59,1,1.16943,0.00982675,0.00982675,0.00982675
37,134.162,0.27465,0.68,1,0.97388,0.0098218,0.0098218,0.0098218
38,137.706,0.46938,0.59,1,1.07202,0.00981685,0.00981685,0.00981685
39,141.261,0.42712,0.6,1,0.95923,0.0098119,0.0098119,0.0098119
40,144.769,0.36758,0.54,1,1.1792,0.00980695,0.00980695,0.00980695
41,148.27,0.36877,0.71,1,0.86987,0.009802,0.009802,0.009802
42,151.765,0.37156,0.74,1,0.77637,0.00979705,0.00979705,0.00979705
43,155.267,0.35367,0.7,1,0.7605,0.0097921,0.0097921,0.0097921
44,158.857,0.34137,0.72,1,0.70483,0.00978715,0.00978715,0.00978715
45,162.366,0.38991,0.8,1,0.58679,0.0097822,0.0097822,0.0097822
46,165.879,0.30926,0.62,1,1.18188,0.00977725,0.00977725,0.00977725
47,169.35,0.50901,0.64,1,0.98657,0.0097723,0.0097723,0.0097723
48,172.909,0.42079,0.54,1,1.1543,0.00976735,0.00976735,0.00976735
49,176.415,0.33837,0.47,1,1.47559,0.0097624,0.0097624,0.0097624
