epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.03493,0.72933,0.68,1,0.62964,0.0946,0.0006,0.0006
2,9.96539,0.58724,0.8,1,0.55322,0.0882994,0.00129936,0.00129936
3,13.6521,0.61178,0.53,1,0.68579,0.081998,0.00199802,0.00199802
4,17.1852,0.62525,0.81,1,0.45947,0.075696,0.00269599,0.00269599
5,20.8812,0.57477,0.83,1,0.41565,0.0693933,0.00339327,0.00339327
6,24.6083,0.53013,0.86,1,0.38513,0.0630899,0.00408985,0.00408985
7,28.3616,0.41376,0.85,1,0.44177,0.0567857,0.00478574,0.00478574
8,31.8993,0.55335,0.84,1,0.51917,0.0504809,0.00548094,0.00548094
9,35.4332,0.44615,0.82,1,0.53394,0.0441754,0.00617545,0.00617545
10,38.9606,0.46781,0.62,1,0.77783,0.0378693,0.00686926,0.00686926
11,42.4206,0.46612,0.65,1,0.71851,0.0315624,0.00756238,0.00756238
12,45.9046,0.43076,0.82,1,0.61621,0.0252548,0.00825481,0.00825481
13,49.3769,0.33523,0.82,1,0.71582,0.0189465,0.00894654,0.00894654
14,52.861,0.38237,0.82,1,0.61084,0.0126376,0.00963758,0.00963758
15,56.362,0.36975,0.69,1,0.86621,0.0099307,0.0099307,0.0099307
16,59.8651,0.4226,0.6,1,0.80493,0.00992575,0.00992575,0.00992575
17,63.3642,0.36526,0.69,1,0.87988,0.0099208,0.0099208,0.0099208
18,66.8213,0.3785,0.72,1,1.0332,0.00991585,0.00991585,0.00991585
19,70.3602,0.40478,0.86,1,0.91772,0.0099109,0.0099109,0.0099109
20,74.022,0.37716,0.86,1,0.54553,0.00990595,0.00990595,0.00990595
21,77.7467,0.45246,0.84,1,0.4541,0.009901,0.009901,0.009901
22,81.222,0.35325,0.7,1,0.54004,0.00989605,0.00989605,0.00989605
23,84.7739,0.47933,0.69,1,0.62109,0.0098911,0.0098911,0.0098911
24,88.3209,0.44183,0.46,1,1.21875,0.00988615,0.00988615,0.00988615
25,91.8869,0.42073,0.31,1,1.75488,0.0098812,0.0098812,0.0098812
26,95.4351,0.3698,0.21,1,1.90283,0.00987625,0.00987625,0.00987625
27,98.9995,0.40825,0.47,1,1.64062,0.0098713,0.0098713,0.0098713
28,102.522,0.44362,0.76,1,0.72339,0.00986635,0.00986635,0.00986635
29,106.018,0.31164,0.84,1,1.21533,0.0098614,0.0098614,0.0098614
30,109.53,0.47583,0.71,1,1.03027,0.00985645,0.00985645,0.00985645
31,113.057,0.90082,0.51,1,1.87256,0.0098515,0.0098515,0.0098515
32,116.575,0.47169,0.44,1,2.16211,0.00984655,0.00984655,0.00984655
33,120.09,0.46517,0.48,1,1.6748,0.0098416,0.0098416,0.0098416
34,123.646,0.51512,0.63,1,1.00586,0.00983665,0.00983665,0.00983665
35,127.125,0.33245,0.5,1,1.62988,0.0098317,0.0098317,0.0098317
36,130.784,0.43336,0.59,1,1.16943,0.00982675,0.00982675,0.00982675
37,134.354,0.27465,0.68,1,0.97388,0.0098218,0.0098218,0.0098218
38,137.896,0.46938,0.59,1,1.07202,0.00981685,0.00981685,0.00981685
39,141.499,0.42712,0.6,1,0.95923,0.0098119,0.0098119,0.0098119
40,145.067,0.36758,0.54,1,1.1792,0.00980695,0.00980695,0.00980695
41,148.627,0.36877,0.71,1,0.86987,0.009802,0.009802,0.009802
42,152.254,0.37156,0.74,1,0.77637,0.00979705,0.00979705,0.00979705
43,155.799,0.35367,0.7,1,0.7605,0.0097921,0.0097921,0.0097921
44,159.314,0.34137,0.72,1,0.70483,0.00978715,0.00978715,0.00978715
45,162.835,0.38991,0.8,1,0.58679,0.0097822,0.0097822,0.0097822
46,166.41,0.30926,0.62,1,1.18188,0.00977725,0.00977725,0.00977725
47,169.919,0.50901,0.64,1,0.98657,0.0097723,0.0097723,0.0097723
48,173.491,0.42079,0.54,1,1.1543,0.00976735,0.00976735,0.00976735
49,176.98,0.33837,0.47,1,1.47559,0.0097624,0.0097624,0.0097624
50,180.545,0.34546,0.46,1,1.59326,0.00975745,0.00975745,0.00975745
51,184.046,0.2938,0.57,1,1.07251,0.0097525,0.0097525,0.0097525
52,187.637,0.36597,0.46,1,1.78906,0.00974755,0.00974755,0.00974755
53,191.152,0.43546,0.67,1,0.86401,0.0097426,0.0097426,0.0097426
54,194.636,0.31861,0.62,1,0.98853,0.00973765,0.00973765,0.00973765
55,198.204,0.31449,0.75,1,0.93848,0.0097327,0.0097327,0.0097327
56,201.708,0.27366,0.79,1,0.71167,0.00972775,0.00972775,0.00972775
57,205.268,0.19624,0.69,1,0.82495,0.0097228,0.0097228,0.0097228
58,208.85,0.24524,0.69,1,0.96753,0.00971785,0.00971785,0.00971785
59,212.426,0.27546,0.68,1,0.92041,0.0097129,0.0097129,0.0097129
60,216.03,0.31495,0.58,1,1.71143,0.00970795,0.00970795,0.00970795
61,219.594,0.26635,0.67,1,1.33252,0.009703,0.009703,0.009703
62,223.165,0.20499,0.79,1,0.79834,0.00969805,0.00969805,0.00969805
63,226.757,0.20543,0.77,1,0.65991,0.0096931,0.0096931,0.0096931
64,230.273,0.22883,0.68,1,1.08911,0.00968815,0.00968815,0.00968815
65,233.884,0.24377,0.75,1,0.76685,0.0096832,0.0096832,0.0096832
66,237.408,0.24213,0.71,1,1.02783,0.00967825,0.00967825,0.00967825
